Date,First Team,Second Team,Stadium
"Sun, May 19 - 7:00 PM",RR,KKR,Barsapara Cricket Stadium • Guwahati
" Sun, May 19 - 3:00 PM ",PBKS,SRH,Rajiv Gandhi International Stadium • Hyderabad 
" Sat, May 18 - 7:00 PM ",RCB,CSK,M.Chinnaswamy Stadium • Bengaluru 
" Fri, May 17 - 7:00 PM ",LSG,MI,Wankhede Stadium • Mumbai 
"Thu, May 16 - 7:00 PM",SRH,GT,Rajiv Gandhi International Stadium • Hyderabad 
" Wed, May 15 - 7:00 PM ",RR,PBKS,Barsapara Cricket Stadium • Guwahati
" Tue, May 14 - 7:00 PM ",DC,LSG,Arun Jaitley Stadium • Delhi 
"Mon, May 13 - 7:00 PM",GT,KKR,Narendra Modi Stadium • Ahmedabad 
" Sun, May 12 - 7:00 PM ", RCB , DC ,M.Chinnaswamy Stadium • Bengaluru 
" Sun, May 12 - 3:00 PM ", RR , CSK ,MA Chidambaram Stadium • Chennai 
" Sat, May 11 - 7:00 PM ", KKR , MI ,Eden Gardens • Kolkata 
" Fri, May 10 - 7:00 PM ", GT , CSK ,Narendra Modi Stadium • Ahmedabad 
" Thu, May 9 - 7:00 PM ", RCB , PBKS ,Himachal Pradesh Cricket Association Stadium • Dharamsala 
" Wed, May 8 - 7:00 PM ", LSG , SRH ,Rajiv Gandhi International Stadium • Hyderabad 
" Tue, May 7 - 7:00 PM ", DC , RR ,Arun Jaitley Stadium • Delhi 
" Mon, May 6 - 7:00 PM ", SRH , MI ,Wankhede Stadium • Mumbai 
" Sun, May 5 - 7:00 PM ", KKR , LSG ,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium • Lucknow 
" Sun, May 5 - 3:00 PM ", CSK , PBKS ,Himachal Pradesh Cricket Association Stadium • Dharamsala 
" Sat, May 4 - 7:00 PM ", GT , RCB ,M.Chinnaswamy Stadium • Bengaluru 
" Fri, May 3 - 7:00 PM ", KKR , MI ,Wankhede Stadium • Mumbai 
" Thu, May 2 - 7:00 PM ", SRH , RR ,Rajiv Gandhi International Stadium • Hyderabad 
" Wed, May 1 - 7:00 PM ", CSK , PBKS ,MA Chidambaram Stadium • Chennai 
" Tue, Apr 30 - 7:00 PM ", MI , LSG ,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium • Lucknow 
" Mon, Apr 29 - 7:00 PM ", DC , KKR ,Eden Gardens • Kolkata 
" Sun, Apr 28 - 7:00 PM ", CSK , SRH ,MA Chidambaram Stadium • Chennai 
" Sun, Apr 28 - 3:00 PM ", GT , RCB ,Narendra Modi Stadium • Ahmedabad 
